	phylum	class	order	family	Final list	taxonomic rank	Nb record BOLD 2022-02-24
Animals	Xenacoelomorpha				phylum	Xenacoelomorpha	18
Animals	Placozoa				phylum	Placozoa	20
Animals	Acoelomorpha				phylum	Acoelomorpha	23
Animals	Gnathostomulida				phylum	Gnathostomulida	24
Animals	Rhombozoa				phylum	Rhombozoa	48
Protists	Chlorarachniophyta				phylum	Chlorarachniophyta	67
Animals	Entoprocta				phylum	Entoprocta	77
Animals	Priapulida				phylum	Priapulida	155
Animals	Phoronida				phylum	Phoronida	198
Fungi	Myxomycota				phylum	Myxomycota	235
Animals	Hemichordata				phylum	Hemichordata	266
Fungi	Chytridiomycota				phylum	Chytridiomycota	293
Animals	Brachiopoda				phylum	Brachiopoda	364
Animals	Nematomorpha				phylum	Nematomorpha	416
Animals	Cycliophora				phylum	Cycliophora	525
Animals	Kinorhyncha				phylum	Kinorhyncha	727
Protists	Ciliophora				phylum	Ciliophora	821
Animals	Ctenophora				phylum	Ctenophora	1015
Animals	Gastrotricha				phylum	Gastrotricha	1363
Plants	Lycopodiophyta				phylum	Lycopodiophyta	1381
Animals	Onychophora				phylum	Onychophora	1411
Animals	Chaetognatha				phylum	Chaetognatha	1900
Protists	Pyrrophycophyta				phylum	Pyrrophycophyta	2339
Animals	Acanthocephala				phylum	Acanthocephala	2381
Fungi	Zygomycota				phylum	Zygomycota	3286
Animals	Tardigrada				phylum	Tardigrada	3485
Fungi	Glomeromycota				phylum	Glomeromycota	3529
Animals	Bryozoa				phylum	Bryozoa	5488
Animals	Nemertea				phylum	Nemertea	7161
Protists	Heterokontophyta				phylum	Heterokontophyta	7410
Plants	Pinophyta				phylum	Pinophyta	7801
Animals	Porifera				phylum	Porifera	10234
Plants	Pteridophyta				phylum	Pteridophyta	11851
Animals	Rotifera				phylum	Rotifera	14081
Plants	Chlorophyta				phylum	Chlorophyta	18664
Plants	Bryophyta				phylum	Bryophyta	23562
Animals	Cnidaria				phylum	Cnidaria	36999
Animals	Nematoda				phylum	Nematoda	39967
Animals	Platyhelminthes				phylum	Platyhelminthes	44914
Protists	Rhodophyta				phylum	Rhodophyta	57942
Animals	Echinodermata				phylum	Echinodermata	63192
Fungi	Basidiomycota				phylum	Basidiomycota	75717
Fungi	Ascomycota				phylum	Ascomycota	109065
Animals	Annelida				phylum	Annelida	126580
Animals	Mollusca				phylum	Mollusca	279691
Plants	Magnoliophyta				phylum	Magnoliophyta	465236
Animals	Chordata	Appendicularia			class	Appendicularia	303
Animals	Chordata	Thaliacea			class	Thaliacea	333
Animals	Chordata	Sarcopterygii			class	Sarcopterygii	354
Animals	Chordata	Myxini			class	Myxini	472
Animals	Chordata	Leptocardii			class	Leptocardii	497
Animals	Chordata	Holocephali			class	Holocephali	709
Animals	Chordata	Cephalaspidomorphi			class	Cephalaspidomorphi	1145
Animals	Chordata	Ascidiacea			class	Ascidiacea	10913
Animals	Chordata	Reptilia			class	Reptilia	35963
Animals	Chordata	Elasmobranchii			class	Elasmobranchii	36869
Animals	Chordata	Amphibia			class	Amphibia	67954
Animals	Chordata	Aves			class	Aves	85532
Animals	Chordata	Mammalia			class	Mammalia	157013
Animals	Chordata	Actinopterygii			class	Actinopterygii	495323
Animals	Arthropoda	Oligostraca_class_incertae_sedis			class	Oligostraca_class_incertae_sedis	1
Animals	Arthropoda	Cephalocarida			class	Cephalocarida	28
Animals	Arthropoda	Remipedia			class	Remipedia	46
Animals	Arthropoda	Pauropoda			class	Pauropoda	160
Animals	Arthropoda	Merostomata			class	Merostomata	182
Animals	Arthropoda	Protura			class	Protura	225
Animals	Arthropoda	Ichthyostraca			class	Ichthyostraca	260
Animals	Arthropoda	Symphyla			class	Symphyla	265
Animals	Arthropoda	Diplura			class	Diplura	365
Animals	Arthropoda	Pycnogonida			class	Pycnogonida	4828
Animals	Arthropoda	Chilopoda			class	Chilopoda	5865
Animals	Arthropoda	Ostracoda			class	Ostracoda	8009
Animals	Arthropoda	Diplopoda			class	Diplopoda	11034
Animals	Arthropoda	Thecostraca			class	Thecostraca	20422
Animals	Arthropoda	Branchiopoda			class	Branchiopoda	24499
Animals	Arthropoda	Copepoda			class	Copepoda	41230
Animals	Arthropoda	Malacostraca			class	Malacostraca	226294
Animals	Arthropoda	Collembola			class	Collembola	228208
Animals	Arthropoda	Arachnida	Holothyrida		order	Holothyrida	4
Animals	Arthropoda	Arachnida	Opilioacarida		order	Opilioacarida	7
Animals	Arthropoda	Arachnida	Palpigradi		order	Palpigradi	40
Animals	Arthropoda	Arachnida	Uropygi		order	Uropygi	182
Animals	Arthropoda	Arachnida	Ricinulei		order	Ricinulei	187
Animals	Arthropoda	Arachnida	Solifugae		order	Solifugae	490
Animals	Arthropoda	Arachnida	Amblypygi		order	Amblypygi	619
Animals	Arthropoda	Arachnida	Schizomida		order	Schizomida	1451
Animals	Arthropoda	Arachnida	Pseudoscorpiones		order	Pseudoscorpiones	4301
Animals	Arthropoda	Arachnida	Scorpiones		order	Scorpiones	5678
Animals	Arthropoda	Arachnida	Opiliones		order	Opiliones	12577
Animals	Arthropoda	Arachnida	Ixodida		order	Ixodida	22568
Animals	Arthropoda	Arachnida	Mesostigmata		order	Mesostigmata	36063
Animals	Arthropoda	Arachnida	Sarcoptiformes		order	Sarcoptiformes	61927
Animals	Arthropoda	Arachnida	Trombidiformes		order	Trombidiformes	91822
Animals	Arthropoda	Arachnida	Araneae		order	Araneae	216578
Animals	Arthropoda	Insecta	Notoptera		order	Notoptera	26
Animals	Arthropoda	Insecta	Zoraptera		order	Zoraptera	31
Animals	Arthropoda	Insecta	Raphidioptera		order	Raphidioptera	710
Animals	Arthropoda	Insecta	Embioptera		order	Embioptera	855
Animals	Arthropoda	Insecta	Zygentoma		order	Zygentoma	1141
Animals	Arthropoda	Insecta	Strepsiptera		order	Strepsiptera	1188
Animals	Arthropoda	Insecta	Megaloptera		order	Megaloptera	2856
Animals	Arthropoda	Insecta	Mecoptera		order	Mecoptera	3481
Animals	Arthropoda	Insecta	Phasmatodea		order	Phasmatodea	3627
Animals	Arthropoda	Insecta	Siphonaptera		order	Siphonaptera	4084
Animals	Arthropoda	Insecta	Dermaptera		order	Dermaptera	4482
Animals	Arthropoda	Insecta	Archaeognatha		order	Archaeognatha	5554
Animals	Arthropoda	Insecta	Mantodea		order	Mantodea	6659
Animals	Arthropoda	Insecta	Neuroptera		order	Neuroptera	23765
Animals	Arthropoda	Insecta	Plecoptera		order	Plecoptera	24229
Animals	Arthropoda	Insecta	Odonata		order	Odonata	42361
Animals	Arthropoda	Insecta	Blattodea		order	Blattodea	45554
Animals	Arthropoda	Insecta	Ephemeroptera		order	Ephemeroptera	46557
Animals	Arthropoda	Insecta	Thysanoptera		order	Thysanoptera	50115
Animals	Arthropoda	Insecta	Orthoptera		order	Orthoptera	72591
Animals	Arthropoda	Insecta	Trichoptera		order	Trichoptera	93687
Animals	Arthropoda	Insecta	Psocodea		order	Psocodea	120722
Animals	Arthropoda	Insecta	Hemiptera	Cerococcidae	family	Cerococcidae	1
Animals	Arthropoda	Insecta	Hemiptera	Conchaspididae	family	Conchaspididae	1
Animals	Arthropoda	Insecta	Hemiptera	Halimococcidae	family	Halimococcidae	1
Animals	Arthropoda	Insecta	Hemiptera	Homotomidae	family	Homotomidae	1
Animals	Arthropoda	Insecta	Hemiptera	Joppeicidae	family	Joppeicidae	1
Animals	Arthropoda	Insecta	Hemiptera	Lestoniidae	family	Lestoniidae	1
Animals	Arthropoda	Insecta	Hemiptera	Marchalinidae	family	Marchalinidae	1
Animals	Arthropoda	Insecta	Hemiptera	Paraphrynoveliidae	family	Paraphrynoveliidae	1
Animals	Arthropoda	Insecta	Hemiptera	Termitaphididae	family	Termitaphididae	1
Animals	Arthropoda	Insecta	Hemiptera	Pachynomidae	family	Pachynomidae	2
Animals	Arthropoda	Insecta	Hemiptera	Plokiophilidae	family	Plokiophilidae	2
Animals	Arthropoda	Insecta	Hemiptera	Thaumastellidae	family	Thaumastellidae	2
Animals	Arthropoda	Insecta	Hemiptera	Hermatobatidae	family	Hermatobatidae	3
Animals	Arthropoda	Insecta	Hemiptera	Mastigimatidae	family	Mastigimatidae	3
Animals	Arthropoda	Insecta	Hemiptera	Phloeidae	family	Phloeidae	3
Animals	Arthropoda	Insecta	Hemiptera	Velocipedidae	family	Velocipedidae	3
Animals	Arthropoda	Insecta	Hemiptera	Aenictopecheidae	family	Aenictopecheidae	4
Animals	Arthropoda	Insecta	Hemiptera	Kuwaniidae	family	Kuwaniidae	4
Animals	Arthropoda	Insecta	Hemiptera	Hyocephalidae	family	Hyocephalidae	5
Animals	Arthropoda	Insecta	Hemiptera	Idiostolidae	family	Idiostolidae	5
Animals	Arthropoda	Insecta	Hemiptera	Parastrachiidae	family	Parastrachiidae	5
Animals	Arthropoda	Insecta	Hemiptera	Megarididae	family	Megarididae	6
Animals	Arthropoda	Insecta	Hemiptera	Myerslopiidae	family	Myerslopiidae	6
Animals	Arthropoda	Insecta	Hemiptera	Macroveliidae	family	Macroveliidae	7
Animals	Arthropoda	Insecta	Hemiptera	Lecanodiaspididae	family	Lecanodiaspididae	9
Animals	Arthropoda	Insecta	Hemiptera	Tettigarctidae	family	Tettigarctidae	9
Animals	Arthropoda	Insecta	Hemiptera	Lasiochilidae	family	Lasiochilidae	12
Animals	Arthropoda	Insecta	Hemiptera	Ninidae	family	Ninidae	12
Animals	Arthropoda	Insecta	Hemiptera	Cantacaderidae	family	Cantacaderidae	13
Animals	Arthropoda	Insecta	Hemiptera	Polyctenidae	family	Polyctenidae	13
Animals	Arthropoda	Insecta	Hemiptera	Canopidae	family	Canopidae	14
Animals	Arthropoda	Insecta	Hemiptera	Cryptococcidae	family	Cryptococcidae	15
Animals	Arthropoda	Insecta	Hemiptera	Leptopodidae	family	Leptopodidae	15
Animals	Arthropoda	Insecta	Hemiptera	Coelostomidiidae	family	Coelostomidiidae	18
Animals	Arthropoda	Insecta	Hemiptera	Helotrephidae	family	Helotrephidae	18
Animals	Arthropoda	Insecta	Hemiptera	Malcidae	family	Malcidae	18
Animals	Arthropoda	Insecta	Hemiptera	Cyrtocoridae	family	Cyrtocoridae	20
Animals	Arthropoda	Insecta	Hemiptera	Colobathristidae	family	Colobathristidae	22
Animals	Arthropoda	Insecta	Hemiptera	Kermesidae	family	Kermesidae	25
Animals	Arthropoda	Insecta	Hemiptera	Ochteridae	family	Ochteridae	25
Animals	Arthropoda	Insecta	Hemiptera	Phacopteronidae	family	Phacopteronidae	28
Animals	Arthropoda	Insecta	Hemiptera	Peloridiidae	family	Peloridiidae	33
Animals	Arthropoda	Insecta	Hemiptera	Asterolecaniidae	family	Asterolecaniidae	38
Animals	Arthropoda	Insecta	Hemiptera	Lyctocoridae	family	Lyctocoridae	41
Animals	Arthropoda	Insecta	Hemiptera	Urostylididae	family	Urostylididae	41
Animals	Arthropoda	Insecta	Hemiptera	Dipsocoridae	family	Dipsocoridae	47
Animals	Arthropoda	Insecta	Hemiptera	Ortheziidae	family	Ortheziidae	50
Animals	Arthropoda	Insecta	Hemiptera	Artheneidae	family	Artheneidae	60
Animals	Arthropoda	Insecta	Hemiptera	Dinidoridae	family	Dinidoridae	63
Animals	Arthropoda	Insecta	Hemiptera	Stenocephalidae	family	Stenocephalidae	66
